Project,BHK,Location,total_floors,Carpet Area,Super Area,Price,Price Per Sqft
Majestique Towers,3,Majestique Towers,20,1095,1323,11000000,8314
Kohinoor Shangrila,2,Kohinoor Shangrila,12,619,867,7500000,8651
Godrej River Royale,3,Godrej River Royale,38,1688,2200,25000000,11364
Kairosa,1,Punawale,14,440,600,3600000,6000
Nirvana Beyond,2,Ravet,18,678,949,5200000,5479
Infinito Sereno,2,Infinito Sereno,12,795,1111,7880000,7095
Gini Vivante,2,Gini Vivante,21,787,787,5700000,7243
V Uptown,2,Ravet,13,640,865,5800000,6705
Surya Skies,3,Punawale,12,974,1315,7790000,5922
Rama Metro Life Maxima Residences,3,Rama Metro Life Maxima Residences,12,884,1193,9500000,7963
Sunrise Tower,2,Sunrise Tower,10,800,1100,8500000,7727
Panchshil Towers,3,Panchshil Towers,35,1700,2550,33600000,13176
Pooja Complex,2,Pooja Complex,6,903,1016,7000000,6890
The Balmoral Riverside,4,The Balmoral Riverside,37,1831,1846,30000000,16251
Livience Aleenta,4,Livience Aleenta,29,1900,2565,33000000,12865
Puneville,3,,22,933,1259,8500000,6751
Bramha the Collection,2,Bramha the Collection,21,808,1250,9100000,7280
Godrej Meadows Phase 2,2,Godrej Meadows Phase 2,27,640,950,7200000,7579
VTP Beaumonde,3,VTP Beaumonde,22,1055,1560,11500000,7372
Supreme Estia,3,Supreme Estia,19,1067,1400,15100000,10786
The Canary,3,Balewadi Gaon,30,1371,1500,19000000,12667
Bramha the Collection,4,Bramha the Collection,28,2200,2600,41000000,15769
Majestique Towers,2,Majestique Towers,23,760,915,7500000,8197
Yashwin Orizzonte,3,Yashwin Orizzonte,12,927,1410,13500000,9574
Shapoorji Pallonji Vanaha,3,Shapoorji Pallonji Vanaha,21,1481,1923,19900000,10350
Sankalp Anand Baug Building D,1,Sankalp Anand Baug Building D,12,462,624,2830000,4535
Pebbles Greenfield,2,Pebbles Greenfield,31,750,980,7400000,7551
Aishwaryam Insignia,2,Punawale,22,690,832,4900000,5889
The Canary,3,The Canary,30,1370,1850,18000000,9730
Venkatesh Erandwane Central,3,Venkatesh Erandwane Central,29,1139,1670,28100000,16826
