Society,Card Title,Carpet Area,Price,Price Per Sqft,Floor
Sagitarius Bluegrass Residences,"4 BHK Apartment for Sale in Sagitarius Bluegrass Residences, Kalyani Nagar Pune",2212 sqft,₹5 Cr,"₹16,667 per sqft",10 out of 24
Pride Purple Park Titan,"2 BHK Apartment for Sale in Pride Purple Park Titan, Hinjawadi Pune",780 sqft,₹75 Lac,"₹7,895 per sqft",18 out of 22
Ganga Avanta,"3 BHK Apartment for Sale in Ganga Avanta, Mundhwa Pune",1219 sqft,₹1.85 Cr,,20 out of 25
,4 BHK Apartment for Sale in Baner Pune,,₹2.35 Cr,"₹9,325 per sqft",12 out of 24
,3 BHK Apartment for Sale in Satara Road Pune,1163 sqft,₹1.70 Cr,"₹10,241 per sqft",2 out of 7
Mahindra Happinest Tathawade Phase 1,"4 BHK Apartment for Sale in Mahindra Happinest Tathawade Phase 1 , Mahalunge Pune",1197 sqft,₹1.35 Cr,"₹6,767 per sqft",21 out of 22
VTP Dolce Vita,"3 BHK Apartment for Sale in VTP Dolce Vita, EON Free Zone, Kharadi Pune",1080 sqft,₹1.15 Cr,,27 out of 33
Joyville Celestia,"3 BHK Apartment for Sale in Joyville Celestia, Shewalewadi Pune",936 sqft,₹99 Lac,,9 out of 20
Majestique Signature Towers,"3 BHK Apartment for Sale in Majestique Signature Towers, Balewadi Pune",1170 sqft,₹1.65 Cr,"₹10,848 per sqft",
Godrej Urban Retreat,"3 BHK Apartment for Sale in Godrej Urban Retreat, Manjari Khurd Pune",855 sqft,₹92.5 Lac,"₹7,115 per sqft",19 out of 27
Mangalam Life Park,"2 BHK Apartment for Sale in Mangalam Life Park, Moshi Pune",653 sqft,₹40.6 Lac,"₹4,439 per sqft",8 out of 14
Clover Acropolis,"3 BHK Apartment for Sale in Clover Acropolis, Viman Nagar Pune",1328 sqft,₹2.41 Cr,"₹14,606 per sqft",2 out of 8
Civcon Residency,"3 BHK Apartment for Sale in Civcon Residency , Kalyani Nagar Pune",1100 sqft,₹1.95 Cr,"₹13,000 per sqft",5 out of 10
